Beta_I,Beta_E,N,P_IFR,T_d,T_r,T_c
5.590160890175105424e-01,3.758762889802358398e-01,8.344111137491556292e+04,1.383688029135155539e-01,2.026413289553007857e+01,6.517626049748939110e+00,5.956502134635734969e+00
5.453941972221908463e-01,3.844499903600395174e-01,8.355341290128725814e+04,1.475280105834571309e-01,2.025916055737803845e+01,6.157014760633308548e+00,5.954229585719587270e+00
5.297126442281979708e-01,3.960506611318027614e-01,8.370137315248702362e+04,1.538818032106940570e-01,2.021646887388094527e+01,5.641038735268597115e+00,6.005382385664450595e+00
5.125010556168253517e-01,3.974565372202168434e-01,8.358580303054454271e+04,1.340006025517633259e-01,2.021101592240322375e+01,6.748720795517026083e+00,5.953388900739959411e+00
4.900901686660025236e-01,4.041014830488271481e-01,8.360951260485117382e+04,1.244989879106011554e-01,2.023102543126370634e+01,7.493046522705834711e+00,5.992170991291279947e+00
5.318241142822162093e-01,4.051784191012288705e-01,8.399024889014718065e+04,5.836589071249687066e-02,2.602404814096235697e+01,2.497327586556632184e+01,7.701905127324054412e+00
6.598183645360611305e-01,3.078695929043618884e-01,8.340523338972481724e+04,1.770847382254805702e-01,6.713623178243608436e+01,1.363805941157600543e+01,7.075335785692809409e+00
3.249080997839214335e-01,6.371005915718640500e-01,8.395170950453347177e+04,6.112375325706499024e-02,2.202991517755286566e+01,1.973803023488625641e+01,9.892585076913325892e+00
6.593865387526105515e-01,4.158226058406420678e-01,8.331985020447568968e+04,2.141690342733941488e-01,9.547432092824695360e+01,1.804213799810154484e+01,9.138092075271458725e+00
6.511548324923621678e-01,3.164972352341198780e-01,8.349752968513968517e+04,1.526775967531855405e-01,4.482492953710312378e+01,1.426443785041564105e+01,7.482310758879170187e+00
3.923584177795392813e-01,5.116946160996880266e-01,8.369638445555622457e+04,1.260245322231312859e-01,4.395151407236942021e+01,1.669539984163142421e+01,8.240515876590182032e+00
7.605301068100808193e-01,3.658133638758586104e-01,8.382321803717185685e+04,9.900711777982221240e-02,2.712395139560480217e+01,1.331375877032419730e+01,8.629891894532141450e+00
5.669216467161467543e-01,4.254704958675762927e-01,8.379413010385565576e+04,5.664442353984004697e-02,1.800364908876685277e+01,1.506114927258737346e+01,8.261731683860551456e+00
8.665148968931061235e-01,2.831156442151093744e-01,8.348576459030789556e+04,8.921822691147078543e-02,3.466845514933181960e+01,1.895362003601274026e+01,8.086744418308731142e+00
7.250138120061727642e-01,3.423923953712496582e-01,8.385381890135724097e+04,1.274191119946175565e-01,5.588356198820368803e+01,2.204826900770506271e+01,8.255782537159106482e+00
6.725513167453652796e-01,3.695114861932872197e-01,8.372373763767174387e+04,6.140151265970660022e-02,3.258801669119644373e+01,2.966631106538483209e+01,8.334370748070906387e+00
8.112797553410527884e-01,2.982821385778746670e-01,8.374036649441035115e+04,7.045805509785486864e-02,3.402724802419187000e+01,2.589851903899740293e+01,8.098977037689802927e+00
7.200664000535217379e-01,3.638573017069873794e-01,8.354023468703126127e+04,9.219331340800350494e-02,3.548369560651147481e+01,2.025184998158887950e+01,8.359621695946099607e+00
6.506250771935884192e-01,3.911562055516207836e-01,8.362329293291260547e+04,7.153516449959999857e-02,2.847400881492563585e+01,1.983164099854573337e+01,8.284370980231871684e+00
6.621976208534179342e-01,3.864405396253366431e-01,8.363243657638216973e+04,8.120378734164368506e-02,3.041744719439467559e+01,1.913708978813926365e+01,8.525190162420470230e+00
6.393756114978996763e-01,4.045398776589206880e-01,8.394561469075032801e+04,6.942919064965392961e-02,3.114865922333442683e+01,2.418499846762117045e+01,8.749666641596848038e+00
5.248061720346675063e-01,4.627517126450436669e-01,8.377029325468410389e+04,8.731506210148361202e-02,3.322199738370230904e+01,1.988270742954433246e+01,8.630085324170352123e+00
5.704480350595411142e-01,4.432378778749017645e-01,8.357203845608767006e+04,8.840243188383593853e-02,2.629307463908552123e+01,1.459096097428072980e+01,8.429794578259411253e+00
5.357436642083259759e-01,4.456334442244327398e-01,8.380443087664527411e+04,7.185863160890873513e-02,2.655019862649233175e+01,1.885778031769188345e+01,8.389903769289608348e+00
5.316762524646417853e-01,4.527173001373541172e-01,8.369346884409269842e+04,7.654767556020457275e-02,2.862069376433856860e+01,2.010924625251233877e+01,8.449643408124103416e+00
