SP, 46289333
MG, 21292666
RJ, 17366189
BA, 14930634
PR, 11516840
RS, 11422973
PE, 9616621
CE, 9187103
PA, 8690745
SC, 7252502
MA, 7114598
GO, 7113540
AM, 4207714
ES, 4064052
PB, 4039277
RN, 3534165
MT, 3526220
AL, 3351543
PI, 3281480
DF, 3055149
MS, 2809394
SE, 2318822
RO, 1796460
TO, 1590248
AC, 894470
AP, 861773
RR, 631181
